OBJECTID,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc,Pre_1996_Loss,SHAPE_Length
25,25,1950,2,13,1950-02-13,01:00:00,3,TN,47,1,1,8,0,,0,35.35,-89.77,0,0,0.2,10,0,3,17.4118406404549
26,26,1950,2,13,1950-02-13,02:00:00,3,TN,47,2,2,1,9,,0,35.75,-89.48,0,0,0.2,10,0,4,17.5052471243031
47,47,1950,3,27,1950-03-27,15:00:00,3,TN,47,3,1,0,0,,0,35.68,-85.77,0,0,0.2,10,0,3,17.4858239679962
447,246,1951,11,14,1951-11-14,22:00:00,3,TN,47,1,2,0,0,,0,35.22,-87.03,0,0,0.2,10,0,4,17.3794734571644
477,16,1952,2,13,1952-02-13,17:00:00,3,TN,47,1,2,0,0,,0,36,-88.12,0,0,0.3,300,0,4,17.5633394726455
480,19,1952,2,13,1952-02-13,19:45:00,3,TN,47,2,1,0,0,,0,36.05,-87.03,0,0,0.3,200,0,4,17.5742632869765
483,22,1952,2,13,1952-02-13,21:00:00,3,TN,47,3,1,0,0,,0,35.23,-86.82,0,0,0.2,400,0,0,17.3815463598695
486,25,1952,2,13,1952-02-13,22:00:00,3,TN,47,4,3,2,0,,0,35.22,-86.6,35.22,-86.47,7.4,350,0,5,14471.5380000007
488,27,1952,2,13,1952-02-13,22:30:00,3,TN,47,5,4,44,3,,0,35.2,-86.3,35.22,-86.08,12.7,100,0,5,24641.4246332947
489,28,1952,2,13,1952-02-13,23:00:00,3,TN,47,6,3,2,0,,0,35.25,-85.83,35.27,-85.75,5.1,400,0,5,9313.61627884793
493,32,1952,2,29,1952-02-29,16:00:00,3,TN,47,7,1,166,3,,0,35.42,-86.7,0,0,0.1,100,0,4,17.4257209895179
494,33,1952,2,29,1952-02-29,16:30:00,3,TN,47,8,4,150,2,,0,35.15,-86.58,0,0,2,300,0,6,17.3627747686165
495,34,1952,2,29,1952-02-29,16:40:00,3,TN,47,10,2,0,0,,0,35.53,-85.85,0,0,1,400,0,4,17.450664363078
497,36,1952,2,29,1952-02-29,17:30:00,3,TN,47,9,2,0,0,,0,35.3,-84.67,35.45,-84.47,15.3,587,0,5,30249.9405163408
524,63,1952,3,21,1952-03-21,18:00:00,3,TN,47,11,4,10,2,,0,36.02,-89.2,36.08,-89.18,4.7,200,0,5,8555.9007559142
530,70,1952,3,21,1952-03-21,20:30:00,3,TN,47,12,3,30,10,,0,35.95,-89.43,36.13,-89.2,18.1,1000,0,5,35631.4922482621
531,71,1952,3,21,1952-03-21,20:30:00,3,TN,47,13,4,5,4,,0,36.1,-89.27,0,0,2,200,0,5,17.5880315242816
534,73,1952,3,21,1952-03-21,22:45:00,3,TN,47,14,2,2,2,,0,35.8,-88.78,0,0,0.1,150,0,4,17.5165942604199
535,74,1952,3,21,1952-03-21,22:50:00,3,TN,47,15,3,3,0,,0,35.85,-88.67,0,0,0.1,100,0,5,17.5281910597843
536,75,1952,3,21,1952-03-21,23:00:00,3,TN,47,16,2,8,1,,0,35.93,-88.5,0,0,0.1,150,0,5,17.5470422934871
537,76,1952,3,21,1952-03-21,23:17:00,3,TN,47,17,3,19,0,,0,36.02,-88.27,36.07,-88.2,5.1,177,0,5,10397.5210710883
538,77,1952,3,21,1952-03-21,23:30:00,3,TN,47,19,4,157,38,,0,35.27,-88.98,35.63,-88.28,46.8,177,0,6,92153.2716560374
539,78,1952,3,21,1952-03-21,23:55:00,3,TN,47,20,2,0,0,,0,35.85,-87.68,0,0,0.3,500,0,4,17.5274437474047
541,80,1952,3,22,1952-03-22,00:20:00,3,TN,47,21,2,10,3,,0,35.87,-87.58,0,0,0.5,40,0,4,17.5321670654487
542,81,1952,3,22,1952-03-22,11:15:00,3,TN,47,22,1,1,0,,0,36.25,-85.93,0,0,0.3,10,0,4,17.6209640404934
648,187,1952,6,30,1952-06-30,18:05:00,3,TN,47,23,1,0,0,,0,36.03,-86.77,0,0,0.3,10,0,3,17.5692534284421
711,10,1953,1,20,1953-01-20,17:41:00,3,TN,47,1,2,0,0,,0,35.7,-85.85,0,0,0.5,500,0,4,17.4906603130416
745,44,1953,3,14,1953-03-14,17:45:00,3,TN,47,2,2,8,0,,0,35.47,-89.45,35.67,-89.08,24.8,33,0,4,49453.5668631238
